DEBUG:root:[1583131353380];
DEBUG:root:[1583133383378]X:353;Y:362;Z:433;V:448;
DEBUG:root:[1583133383405]X:353;Y:360;Z:433;V:355;
DEBUG:root:[1583133383435]X:353;Y:360;Z:433;V:488;
DEBUG:root:[1583133383459]X:353;Y:362;Z:432;V:421;
DEBUG:root:[1583133383488]X:353;Y:360;Z:436;V:368;
DEBUG:root:[1583133383512]X:354;Y:360;Z:433;V:500;
DEBUG:root:[1583133383541]X:354;Y:360;Z:433;V:398;
DEBUG:root:[1583133383569]X:353;Y:360;Z:435;V:387;
DEBUG:root:[1583133383594]X:354;Y:360;Z:433;V:506;
DEBUG:root:[1583133383623]X:355;Y:360;Z:433;V:378;
DEBUG:root:[1583133383648]X:353;Y:361;Z:433;V:408;
DEBUG:root:[1583133383676]X:354;Y:360;Z:438;V:497;
DEBUG:root:[1583133383705]X:356;Y:363;Z:437;V:364;
DEBUG:root:[1583133383729]X:355;Y:365;Z:438;V:443;
DEBUG:root:[1583133383759]X:356;Y:363;Z:438;V:485;
DEBUG:root:[1583133383782]X:355;Y:362;Z:435;V:357;
DEBUG:root:[1583133383812]X:358;Y:363;Z:437;V:472;
DEBUG:root:[1583133383840]X:356;Y:362;Z:437;V:466;
DEBUG:root:[1583133383865]X:354;Y:362;Z:436;V:354;
DEBUG:root:[1583133383893]X:359;Y:363;Z:438;V:487;
DEBUG:root:[1583133383918]X:356;Y:366;Z:436;V:437;
DEBUG:root:[1583133383947]X:356;Y:364;Z:436;V:364;
DEBUG:root:[1583133383975]X:356;Y:366;Z:435;V:498;
DEBUG:root:[1583133384000]X:355;Y:364;Z:436;V:413;
DEBUG:root:[1583133384029]X:356;Y:362;Z:438;V:381;
DEBUG:root:[1583133384053]X:357;Y:363;Z:436;V:510;
DEBUG:root:[1583133384082]X:358;Y:362;Z:437;V:389;
DEBUG:root:[1583133384110]X:356;Y:362;Z:436;V:400;
DEBUG:root:[1583133384135]X:356;Y:362;Z:436;V:504;
DEBUG:root:[1583133384163]X:359;Y:362;Z:436;V:369;
